Harga Produk,Jumlah Terjual,Jumlah Ulasan,Kategori,Nama Produk,Rating,Rating Produk,Tanggal Komentar,Teks Ulasan,Username,Panjang Ulasan (karakter),Panjang Ulasan (kata)
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-05-18 18:04:09.701422,Good,T***a,4,1
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2024-08-04 18:04:09.701427,Good,b***9,4,1
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2025-01-04 18:04:09.701435,Bagus produk sesuai harga murah,D***t,31,5
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2025-05-18 18:04:09.701440,Kualitas produk: Baguss,N***z,23,3
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2024-08-04 18:04:09.701444,Bahannya adem,T***S,13,2
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2025-05-22 18:04:09.701449,Good,f***d,4,1
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2024-12-25 18:04:09.701453,Mantap bajunya pas,J****,18,3
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2025-03-18 18:04:09.701457,Pas,s***y,3,1
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2025-03-28 18:04:09.701462,Bagus,A***i,5,1
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2025-03-07 18:04:09.701466,Keren semua,L***v,11,2
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2024-10-13 18:04:09.701470,good,a***s,4,1
84.000,70.0,15.0,1,Erigo T-Shirt Ales Black - Kaos Unisex - M,5.0,4.9,2024-09-18 18:04:09.701475,Nice,T***S,4,1
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2024-07-26 18:04:09.701479,"produk bagus, harga bagus, pengiriman lancar",R***d,44,6
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2025-06-30 18:04:09.701483,ukuran pas sesuai deskripsi. bahan jg bagus. pengiriman sesuai jadwal. Packing rapi dan aman,Bayu,92,14
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2025-05-10 18:04:09.701489,"bahan ringan, stretch dan agak tipis, tapi oke untuk looksnya, makasih",p***s,70,11
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2025-02-04 18:04:09.701493,Agak kegedean tapi yaudah masih bisa dipake,Rizki,43,7
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2025-06-25 18:04:09.701497,"barang OK, tapi proses dan pengirimannya agak.lama",J***n,50,7
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2024-09-21 18:04:09.701502,Warna nya aga aneh sih,T***S,22,5
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2025-02-17 18:04:09.701506,Great,D***f,5,1
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2024-11-17 18:04:09.701510,K,m***e,1,1
230.000,50.0,9.0,8,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex - 28,5.0,4.8,2025-07-10 18:04:09.701514,👍,M***x,1,1
230.000,60.0,20.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2025-07-16 18:04:09.701519,Barang sesuai pesanan dan sampai tepat waktu,Gullit,44,7
230.000,60.0,15.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2024-11-17 18:04:09.701523,"Terimakasih
Barang beta su sampai..
Semoga awet",A***n,47,7
230.000,60.0,11.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2024-07-21 18:04:09.701527,Product quality: Good,A***r,21,3
230.000,60.0,8.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2024-07-24 18:04:09.701532,Kualitas produk: Baik,T***S,21,3
230.000,60.0,7.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2024-11-25 18:04:09.701536,Sesuai,X***v,6,1
230.000,60.0,19.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2025-02-26 18:04:09.701540,P,Q***k,1,1
230.000,60.0,11.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2025-02-26 18:04:09.701545,Bagus,F***l,5,1
230.000,60.0,11.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2024-12-19 18:04:09.701549,Mantap,b***n,6,1
230.000,60.0,4.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2025-06-18 18:04:09.701553,Good,r***n,4,1
230.000,60.0,8.0,3,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex - 30,5.0,5.0,2025-05-06 18:04:09.701557,Good,R***W,4,1
84.000,3.0,3.0,1,"Erigo T-Shirt Toyama Club Cream - Kaos Unisex - Size, S",5.0,1.0,2025-04-11 18:04:09.701562,Pesanan tdk sesuai yg di gambar motif nya beda kecewa,y***a,53,10
268.000,30.0,2.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2024-08-28 18:04:09.701566,"memang kalau dari segi bahan lumayan oke di harga nya, saran untuk bahan zipper atau resleting nya lebih ditingkatkan. over all bagus",Arcelio,133,22
268.000,30.0,12.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2025-02-06 18:04:09.701570,"pengiriman cepat, seller ramah, barang ORI, cakep juga. makasih erigo official",S***i,78,11
268.000,30.0,6.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2025-04-07 18:04:09.701574,Keren jacketnya aku pesan ukuran L agak gede tp jacket bagusan oversize sih dari pada ngepas,N***l,92,16
268.000,30.0,2.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2024-12-20 18:04:09.701579,"ukuranya kebesaran sih beda kayak baju kaos², diasarankan buat yang mau beli pilih satu ukuran dibawah ukuran asli, misal makenya L turunkan jadi M.",febri,148,24
268.000,30.0,1.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2025-04-29 18:04:09.701584,"Maaf baru komen, soalnya baru datang dari luar kota, jaket bagus banget, nyaman dipakai, sesuai dengan gambar. 
Terima kasih seller, sukses selalu...",V***e,149,22
268.000,30.0,12.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2024-08-05 18:04:09.701588,Cakeppp sesuai digambar,Y***z,23,3
268.000,30.0,12.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2025-05-28 18:04:09.701592,"Bagus, sesuai deskripsi",E***n,23,3
268.000,30.0,17.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2025-04-12 18:04:09.701597,Bagus,D***n,5,1
268.000,30.0,10.0,10,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,5.0,5.0,2024-07-28 18:04:09.701601,Keren,U***a,5,1
120.000,14.0,2.0,2,Erigo Basic Long Sleeve Shirt Bhevin Grey - Kemeja Lengan Panjang Oxford Unisex - M,5.0,4.8,2025-03-20 18:04:09.701605,bgus pol,M***c,8,2
120.000,14.0,2.0,2,Erigo Basic Long Sleeve Shirt Bhevin Grey - Kemeja Lengan Panjang Oxford Unisex - M,5.0,4.8,2025-07-08 18:04:09.701609,Mantap,T***S,6,1
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2025-04-21 18:04:09.701614,Agak kegedean dikit tapi yaudah besok2 tolong lah ya menolong,Rizki,61,10
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2025-04-29 18:04:09.701618,Barang sesuai pesanan dan sampai tepat waktu,Gullit,44,7
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2024-12-29 18:04:09.701622,selalu cocok dengan fittingan erigo,Lesmana,35,5
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2025-06-03 18:04:09.701626,Kualitas produk: Bagus,V***,22,3
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2025-03-18 18:04:09.701631,"terbaik,,",Z***y,9,1
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2024-07-20 18:04:09.701636,Murah kualitas kece,p***u,19,3
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2024-12-15 18:04:09.701640,Good quality,A***i,12,2
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2024-08-26 18:04:09.701645,Pengiriman gerecep,H***o,18,2
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2024-09-17 18:04:09.701649,Puas banget. Super rekomen!,B***n,27,4
230.000,100.0,21.0,8,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,5.0,5.0,2025-07-16 18:04:09.701653,Strait,U***o,6,1
154.000,50.0,16.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2025-03-29 18:04:09.701657,"bahan bagus,tebal,pengiriman cepat,mantapp",X***b,42,3
154.000,50.0,15.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2024-12-25 18:04:09.701662,Top,U***q,3,1
154.000,50.0,15.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2024-09-30 18:04:09.701666,"Sejauh ini Erigo tidak pernah mengecewakan, thanks Erigo",V***b,56,8
154.000,50.0,19.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2024-12-19 18:04:09.701670,Product quality: bagus,V***q,22,3
154.000,50.0,12.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2024-10-31 18:04:09.701675,Bagus sudah 3x beli disini,P***b,26,5
